"class","date","time","datetime","break","no lesson","outside room","partially outside room","no_palas"
"A",2023-01-16,"07:10:00",2023-01-16 07:10:00,FALSE,TRUE,FALSE,FALSE,TRUE
"A",2023-01-16,"07:20:00",2023-01-16 07:20:00,FALSE,TRUE,FALSE,FALSE,TRUE
"A",2023-01-16,"07:30:00",2023-01-16 07:30:00,FALSE,TRUE,FALSE,FALSE,TRUE
"A",2023-01-16,"07:40:00",2023-01-16 07:40:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"07:50:00",2023-01-16 07:50:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"08:00:00",2023-01-16 08:00:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"08:10:00",2023-01-16 08:10:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"08:20:00",2023-01-16 08:20:00,TRUE,FALSE,FALSE,FALSE,TRUE
"A",2023-01-16,"08:30:00",2023-01-16 08:30:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"08:40:00",2023-01-16 08:40:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"08:50:00",2023-01-16 08:50:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"09:00:00",2023-01-16 09:00:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"09:10:00",2023-01-16 09:10:00,TRUE,FALSE,FALSE,FALSE,TRUE
"A",2023-01-16,"09:20:00",2023-01-16 09:20:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"09:30:00",2023-01-16 09:30:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"09:40:00",2023-01-16 09:40:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"09:50:00",2023-01-16 09:50:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"10:00:00",2023-01-16 10:00:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"10:10:00",2023-01-16 10:10:00,TRUE,FALSE,FALSE,FALSE,TRUE
"A",2023-01-16,"10:20:00",2023-01-16 10:20:00,TRUE,FALSE,FALSE,FALSE,TRUE
"A",2023-01-16,"10:30:00",2023-01-16 10:30:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"10:40:00",2023-01-16 10:40:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"10:50:00",2023-01-16 10:50:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"14:00:00",2023-01-16 14:00:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"14:10:00",2023-01-16 14:10:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"14:20:00",2023-01-16 14:20:00,TRUE,FALSE,FALSE,FALSE,TRUE
"A",2023-01-16,"14:30:00",2023-01-16 14:30:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"14:40:00",2023-01-16 14:40:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"14:50:00",2023-01-16 14:50:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"15:00:00",2023-01-16 15:00:00,FALSE,FALSE,FALSE,FALSE,FALSE
"A",2023-01-16,"15:10:00",2023-01-16 15:10:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"15:20:00",2023-01-16 15:20:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"15:30:00",2023-01-16 15:30:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"15:40:00",2023-01-16 15:40:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"15:50:00",2023-01-16 15:50:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"16:00:00",2023-01-16 16:00:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"16:10:00",2023-01-16 16:10:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"16:20:00",2023-01-16 16:20:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"16:30:00",2023-01-16 16:30:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"16:40:00",2023-01-16 16:40:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-16,"16:50:00",2023-01-16 16:50:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-17,"07:10:00",2023-01-17 07:10:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-17,"07:20:00",2023-01-17 07:20:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-17,"07:30:00",2023-01-17 07:30:00,FALSE,FALSE,TRUE,FALSE,TRUE
"A",2023-01-17,"07:40:00",2023-01-17 07:40:00,FALSE,FALSE,TRUE,FALSE,TRUE
